AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street City,Street State,Street Zip,Street County,Phone,License Status,Owner,Admin/CEO,Licensed Beds,Profit Status,Web Address
11969363,13187,9/17/2022,9/16/2024,Assisted Living Facility,FEELS LIKE HOME IN TAMPA ALF INC,6018 MEMORIAL HWY,TAMPA,FL,33615,Hillsborough,(813) 252-8418,LICENSED,"FEELS LIKE HOME IN TAMPA ALF, INC",YAILYN RODRIGUEZ,6,For-Profit,
11968267,12179,6/14/2021,6/13/2023,Assisted Living Facility,FLORENTINA'S HOUSE ALF CORP,4203 W OHIO AVE,TAMPA,FL,33614-7825,Hillsborough,(813) 252-6241,LICENSED,FLORENTINAS HOUSE ALF CORP,ONAY CONCEPCION-GARCIA,6,For-Profit,
11968142,12101,2/5/2022,2/4/2024,Assisted Living Facility,FRIENDLY HOUSE OF TAMPA BAY INC THE,2602 W COMANCHE AVE,TAMPA,FL,33614-6175,Hillsborough,(813) 915-5016,LICENSED,"THE FRIENDLY HOUSE OF TAMPA BAY, INC",LUIS F. CARRERA,8,For-Profit,www.thefriendlyhouse.net
11965022,9556,9/1/2021,8/31/2023,Assisted Living Facility,GAIL'S ALF,811 E OSBORNE AVE,TAMPA,FL,33603-4019,Hillsborough,(813) 239-3322,LICENSED,"GAIL'S ALF, INC.",GAIL COLEMAN,10,For-Profit,Gail's Assisted Living Facility
11968262,12249,10/18/2021,10/17/2023,Assisted Living Facility,GARDEN OASIS ALF,515 HICKORY LAKE DR,BRANDON,FL,33511,Hillsborough,(813) 315-8233,LICENSED,SEGGYYEN VENTURES LLC,MS PRETTY OLUFUNKE AYENI,6,For-Profit,www.gardenoasisalf.com
11968757,12599,3/18/2021,3/17/2023,Assisted Living Facility,GARDENS OF TIME II CORP,2914 W SLIGH AVE,TAMPA,FL,33614,Hillsborough,(813) 505-5564,LICENSED,GARDENS OF TIME II CORP,MARTHA MEDINA,5,For-Profit,
11967829,11832,8/7/2021,8/6/2023,Assisted Living Facility,GARDENS OF TIME III CORP,2006 W BARCLAY RD,TAMPA,FL,33612-7544,Hillsborough,(813) 932-4610,LICENSED,GARDENS OF TIME III CORP,DAVID REMEDIOS AGUADO,5,For-Profit,
11968362,12263,1/6/2023,1/5/2025,Assisted Living Facility,GARDENS OF TIME LLC,4603 N SAINT VINCENT ST,TAMPA,FL,33614,Hillsborough,(813) 505-5564,LICENSED,GARDENS OF TIME LLC,MARTHA MEDINA,8,For-Profit,
11969844,13587,4/19/2021,4/18/2023,Assisted Living Facility,GENTLE HARBOR SENIOR CARE,7003 FLINT DR,TAMPA,FL,33619,Hillsborough,(813) 403-9239,LICENSED,Gentle Harbor Senior Care LLC,DIONNE A SARDON,6,For-Profit,
11968541,12443,12/9/2021,12/8/2023,Assisted Living Facility,GOLDEN AGE ALF OF TAMPA BAY INC,3328 W SPRUCE ST,TAMPA,FL,33607-4225,Hillsborough,(813) 877-6581,LICENSED,GOLDEN AGE ALF OF TAMPA BAY INC,BRYAN TOLEDO,8,For-Profit,
11969710,13460,5/8/2022,5/7/2024,Assisted Living Facility,GOLDEN BUTTERFLY CORP,6217 PALVIEW CT,TAMPA,FL,33625,Hillsborough,(813) 244-3298,LICENSED,GOLDEN BUTTERFLY CORP,YENIS M RETUERTO,6,For-Profit,
11966850,11015,6/10/2021,6/9/2023,Assisted Living Facility,GOLDEN LIFE ALF LLC,200 SE LINCOLN CIR N,SAINT PETERSBURG,FL,33703-1435,Pinellas,(727) 520-9314,LICENSED,GOLDEN LIFE ALF LLC,MARIA E LABIOS,6,For-Profit,
11964382,9000,11/29/2021,11/28/2023,Assisted Living Facility,GOOD SHEPHERD ALF OF BRANDON LLC,1801 LIDO DR,BRANDON,FL,33511-6824,Hillsborough,(813) 684-4989,LICENSED,GOOD SHEPHERD ALF OF BRANDON LLC,THELMA MANAGAD,6,For-Profit,
11968096,12164,10/15/2022,10/14/2024,Assisted Living Facility,HACIENDA ALF SERVICES LLC,1510 E PALM AVE,TAMPA,FL,33605-3715,Hillsborough,(813) 247-3339,LICENSED,HACIENDA ALF SERVICES LLC,DEBRA SUE NALES,36,Not-For-Profit,Angels Senior Living.com
11969617,13377,3/11/2022,3/10/2024,Assisted Living Facility,HAVEN ALF INC,1514 HAVEN BEND,TAMPA,FL,33613,Hillsborough,(813) 284-5078,LICENSED,"HAVEN ALF, INC",RONNIEL ESPIGUL-GARCIA,6,For-Profit,
11965614,9949,8/4/2021,8/3/2023,Assisted Living Facility,HAWTHORNE INN OF BRANDON,859 W LUMSDEN ROAD,BRANDON,FL,33511,Hillsborough,(813) 661-8998,LICENSED,HAWTHORNE BRANDON AL OPERATIONS LLC,TONYA THOMPSON,64,Not-For-Profit,Hawthornevillageofbrandon.com
11969558,13321,11/5/2021,11/4/2023,Assisted Living Facility,HELPING HANDS SENIOR SERVICES LLC,2504 BUCKHORN TRACE CT,VALRICO,FL,33594,Hillsborough,(813) 482-3222,LICENSED,HELPING HANDS SENIOR SERVICES LLC,MONA MAKHLOUF,6,For-Profit,
11967138,11225,5/2/2022,5/1/2024,Assisted Living Facility,HELPING HEART ASSISTED LIVING FACILITY,5317 E 20TH AVE,TAMPA,FL,33619,Hillsborough,(813) 900-7479,LICENSED,HELPING HEART LLC,KENESHIA CHRISHAUNA WYATT,5,For-Profit,www.helpingheartllc.com
11967259,11339,6/5/2022,6/4/2024,Assisted Living Facility,HERNANDEZ ALF,6604 N ORLEANS AVE,TAMPA,FL,33604-6428,Hillsborough,(813) 270-6040,LICENSED,HERNANDEZ ALF INC,LISANDRA HERNANDEZ,6,For-Profit,
11968675,12543,10/20/2022,10/19/2024,Assisted Living Facility,HERNANDEZ ALF II LLC,3010 W HAYA ST,TAMPA,FL,33614-6735,Hillsborough,(813) 270-6040,LICENSED,HERNANDEZ ALF II LLC,LISANDRA HERNANDEZ,6,For-Profit,
11968945,12778,4/11/2022,4/10/2024,Assisted Living Facility,HOWARD HOME CARE ALF INC,7001 N HOWARD AVE,TAMPA,FL,33604,Hillsborough,(813) 304-1204,LICENSED,HOWARD HOME CARE ALF INC,CARLOS DIAZ,8,For-Profit,
11966307,10528,5/11/2022,5/10/2024,Assisted Living Facility,HUDSON MANOR,115 E DAVIS BLVD,TAMPA,FL,33606-3513,Hillsborough,(813) 254-8399,LICENSED,TWIN DAVIS OPERATOR LLC,CRYSTAL JUNG,66,For-Profit,Hudsonmanor.net
11967471,11504,3/23/2021,3/22/2023,Assisted Living Facility,HYDE PARK ASSISTED LIVING FACILITY,3011 WEST DE LEON ST,TAMPA,FL,33609,Hillsborough,(813) 205-0387,LICENSED,ASSISTED LIVING INC,JOSEPH W JOSEPH,68,For-Profit,www.hydeparkalf.com
11966591,10756,3/2/2022,3/1/2024,Assisted Living Facility,IMMANUEL AT YBOR ASSISTED LIVING FACILITY,3213 E 11TH AVE,TAMPA,FL,33605-4317,Hillsborough,(813) 247-5852,LICENSED,"YETEY ENTERPRISES, INC.",ABIODUN ADEGBOLA,19,For-Profit,
11969258,13093,1/23/2022,1/22/2024,Assisted Living Facility,INFINITY CARE ALF INC,6411 WILSHIRE DR,TAMPA,FL,33615,Hillsborough,(813) 443-6558,LICENSED,INFINITY CARE ALF INC,LEIDY PEREZ-LOPEZ,6,For-Profit,
11966328,10546,6/1/2022,5/31/2024,Assisted Living Facility,INN ASTON AT GARDENS TAMPA BAY (THE),11741 LAKE ASTON CT,TAMPA,FL,33626-3100,Hillsborough,(813) 569-7585,LICENSED,TAMPA FL SENIOR HOUSING OPCO LLC,LORENA ZAYAS,50,For-Profit,www.astongardens.com
11968822,12689,9/8/2021,9/7/2023,Assisted Living Facility,INSPIRED LIVING AT TAMPA,5130 KELLY RD,TAMPA,FL,33615-4726,Hillsborough,(813) 739-0007,LICENSED,"SENIOR LIVING VII TAMPA, LLC",CHARLES DOUGLAS WHITE,68,For-Profit,http://inspiredliving.care/inspired-living-at-tampa/
11953318,8616,9/7/2021,9/6/2023,Assisted Living Facility,JEANETTE BOSTON ALF,6916 N 30TH ST,TAMPA,FL,33610-1102,Hillsborough,(813) 237-5792,LICENSED,JEANETTE BOSTON,JEANETTE BOSTON,7,For-Profit,JEANETTEBOSTON ALF.COM
11967464,11483,2/15/2021,2/14/2023,Assisted Living Facility,JOSEPHINE'S HOME AWAY FROM HOME,1407 E HOLLAND AVE,TAMPA,FL,33612-6913,Hillsborough,(813) 972-1057,LICENSED,SHARON M BUTLER,SHARON M BUTLER,5,For-Profit,
11967826,11790,8/8/2021,8/7/2023,Assisted Living Facility,JUSTIN FAMILY ALF,10103 BAY WIND CT,TAMPA,FL,33615,Hillsborough,(813) 443-2222,LICENSED,"JUSTIN FAMILY A.L.F., LLC",SWAMY BRITO-FERNANDEZ,6,For-Profit,
11966226,10480,6/1/2022,5/31/2024,Assisted Living Facility,KAY & JAY 09 LLC,1411 EAST WATERS AVENUE,TAMPA,FL,33604,Hillsborough,(813) 935-8978,LICENSED,KAY&JAY 09 LLC,JONALDINE ELISCARD JEANBRINVIL,8,For-Profit,
11910049,7336,1/22/2022,1/21/2024,Assisted Living Facility,KRISTIANNA'S,104 GARLAND CT,TAMPA,FL,33613-1826,Hillsborough,(813) 961-6887,LICENSED,"PIRAKMI, INC.",UNIDAD R BONOAN,22,For-Profit,
11969714,13474,5/27/2022,5/26/2024,Assisted Living Facility,L&Y PARADISE ALF CORP,14314 CAPITOL DR,TAMPA,FL,33613,Hillsborough,(813) 310-6548,LICENSED,L & Y PARADISE ALF CORP,LEIRYS ALFONSO,6,For-Profit,
11969231,13056,11/27/2021,11/26/2023,Assisted Living Facility,LA GLORIA ALF LLC,6003 W KNOX ST,TAMPA,FL,33634,Hillsborough,(813) 515-4303,LICENSED,LA GLORIA ALF LLC,MAGDA OLIVERA,5,For-Profit,
11969690,13473,5/26/2022,5/25/2024,Assisted Living Facility,LA ROSA ALF CORP,1615 CARNEGIE CIR,TAMPA,FL,33619,Hillsborough,(813) 402-2596,LICENSED,LAROSA ALF CORP,LEITSY LA ROSA,6,For-Profit,
11969327,13139,3/13/2022,3/12/2024,Assisted Living Facility,LARRY'S FAMILY 1 CARE ALF LLC,4402 W MINNEHAHA ST,TAMPA,FL,33614,Hillsborough,(813) 841-9831,LICENSED,LARRY'S FAMILY 2 CARE ALF LLC,KIRENIA GUZMAN MARTINEZ,6,For-Profit,
11968614,12484,6/26/2022,6/25/2024,Assisted Living Facility,LARRY'S FAMILY 2 CARE ALF LLC,8346 GARRISON CIR,TAMPA,FL,33615-1214,Hillsborough,(813) 841-9831,LICENSED,LARRY'S FAMILY 2 CARE ALF LLC,KIRENIA GUZMAN MARTINEZ,5,For-Profit,
11968425,12309,4/3/2021,4/2/2023,Assisted Living Facility,LAS MERCEDES FAMILY HOME INC,8426 N MANHATTAN AVE,TAMPA,FL,33614-1406,Hillsborough,(813) 249-4536,LICENSED,LAS MERCEDES FAMILY HOME INC,ANAMARYS REYES,6,For-Profit,
11968854,12715,8/31/2021,8/30/2023,Assisted Living Facility,LEGACY AT HIGHWOODS PRESERVE,18600 HIGHWOODS PRESERVE PKWY,TAMPA,FL,33647,Hillsborough,(813) 375-9858,LICENSED,HIGHWOODS PRESERVE OPCO LLC,MITCHELL EDELSTEIN,88,For-Profit,Legacyathighwoodspreserve.com
11970009,13743,2/2/2023,9/13/2024,Assisted Living Facility,LIFE VISION'S ASSISTED LIVING AND QUALITY CARE,3510 E FRIERSON AVE,TAMPA,FL,33610,Hillsborough,(813) 817-0525,LICENSED,LIFE VISION'S WORK INC,APRYL L WILCOX FL,8,Not-For-Profit,
11967948,11904,1/25/2023,1/24/2025,Assisted Living Facility,LILIAN ALF INC,1317 W RAMBLA ST,TAMPA,FL,33612-7737,Hillsborough,(813) 270-6231,LICENSED,"LILIAN ALF, INC.",LILIAN PENA,8,For-Profit,
11967740,11733,1/25/2022,1/24/2024,Assisted Living Facility,LIVING WELL COMMUNITY LLC,2222 JOHN MOORE RD,BRANDON,FL,33511-6333,Hillsborough,(813) 661-7186,LICENSED,"LIVING WELL COMMUNITY, LLC",NIKISHA N. ROBERTS,6,For-Profit,http://www.livingwellalf.com/
11969901,13648,1/25/2022,9/13/2023,Assisted Living Facility,LIZANDRA ASSISTED LIVING FACILITY INC,8507 N 28TH ST,TAMPA,FL,33604,Hillsborough,(813) 337-9294,LICENSED,LIZANDRA ASSISTED LIVING FACILITY INC,LIZANDRA CALZADILLA,5,Not-For-Profit,
11970128,13773,1/24/2023,1/23/2025,Assisted Living Facility,LOVED BY THE DAY LLC,714 WESTWOOD CIR,BRANDON,FL,33511,Hillsborough,(813) 643-6681,LICENSED,LOVED BY THE DAY LLC.,MELISSA WALKER,6,For-Profit,lovedbytheday.com
11968836,12685,9/3/2021,9/2/2023,Assisted Living Facility,LOVING CARE ALF INC,11008 AIRVIEW DR,TAMPA,FL,33625,Hillsborough,(813) 264-1850,LICENSED,LOVING CARE ALF INC,LEIDY PEREZ-LOPEZ,6,For-Profit,
11969332,13138,6/3/2022,6/2/2024,Assisted Living Facility,LOVING HEALTH CARE CORP,14706 EGRET PLACE,TAMPA,FL,33625,Hillsborough,(813) 481-2184,LICENSED,LOVING HEALTH CARE CORP,ARIADNA BORREGO,6,For-Profit,
11963744,6512,7/1/2022,6/30/2024,Assisted Living Facility,MAGNOLIA HOUSE,655 5TH AVE N,SAFETY HARBOR,FL,34695-3014,Pinellas,(727) 637-2820,LICENSED,JAMES TRESH,JAMES TRESH,8,For-Profit,
11968151,12096,2/13/2022,2/12/2024,Assisted Living Facility,MAGNOLIA MANOR ASSISTED LIVING INC,17420 OLD TOBACCO RD,LUTZ,FL,33558-4979,Hillsborough,(813) 918-0588,LICENSED,MAGNOLIA MANOR ASSISTED LIVING INC,ROBBIN LONZANO,53,For-Profit,www.magnoliamanoralf.com
11969928,13708,4/22/2022,4/21/2024,Assisted Living Facility,MANIFESTATIONS ASSISTED LIVING FACILITY,3610 N 31ST ST,TAMPA,FL,33605,Hillsborough,(813) 533-6729,LICENSED,MANIFESTATION WORLDWIDE INC,RENAE KENDRICK,6,For-Profit,
11967099,11199,3/15/2022,3/14/2024,Assisted Living Facility,"MARINA ASSISTED LIVING FACILITY, LLC",6702 WEST CLIFTON STREET,TAMPA,FL,33634,Hillsborough,(813) 956-2663,LICENSED,MARINA ASSISTED LIVING FACILITY LLC,LIUDISLAYNES DOMINGUEZ,6,For-Profit,
11910636,6073,9/15/2022,9/14/2024,Assisted Living Facility,MASONIC HOME OF FLORIDA,3201 1ST ST NE,SAINT PETERSBURG,FL,33704-2205,Pinellas,(727) 822-3499,LICENSED,MOST WORSHIPFUL GRAND LODGE OF FREE & ACCEPTED MASONS OF FLORIDA,RENEE L VERRIER,102,Not-For-Profit,www.masonichomefl.com
11968770,12628,5/17/2021,5/16/2023,Assisted Living Facility,MAYDEL ALF 2 CORP,14910 N OLA AVE,TAMPA,FL,33613,Hillsborough,(813) 450-3345,LICENSED,MAYDEL ALF CORP.,MAYDEL SUAREZ,6,For-Profit,
11968365,12274,3/5/2021,3/4/2023,Assisted Living Facility,MAYI'S ALF INC,14053 BRIARDALE LN,TAMPA,FL,33618,Hillsborough,(813) 562-0827,LICENSED,MAYI'S ALF INC,MAGDA OLIVERA,6,For-Profit,
11968830,12675,8/27/2021,8/26/2023,Assisted Living Facility,"MEMORY LANE COTTAGE AT TAMPA PALMS, LLC",5175 CYPRESS PRESERVE DR,TAMPA,FL,33647,Hillsborough,(813) 632-1270,LICENSED,"MEMORY LANE COTTAGE AT TAMPA PALMS, LLC",KELLY JEAN IRISH O'KEEFE,20,For-Profit,www.memorylanecottage.com
11966457,10722,1/6/2022,1/5/2024,Assisted Living Facility,MERCY HOME ASSISTED LIVING FACILITY,6428 EDEN LN,TAMPA,FL,33634-4710,Hillsborough,(813) 249-9944,LICENSED,"MERCY OF TAMPA, INC.",OLAYEMI FUNMILOLA FADIORA,6,For-Profit,
11969956,13695,3/7/2022,3/6/2024,Assisted Living Facility,MERIDIAN AT BRANDON THE,9215 CAUSEWAY BLVD,TAMPA,FL,33619,Hillsborough,(813) 513-0165,LICENSED,BRANDON OPCO LLC,STACY DEANN MCCANLESS,156,For-Profit,www.themeridianatbrandon.com
11968118,12080,5/7/2021,5/6/2023,Assisted Living Facility,MI BELLO HOGAR LIVING FACILITY,3406 W CARACAS ST,TAMPA,FL,33614,Hillsborough,(813) 455-6536,LICENSED,"MI BELLO HOGAR, LLC",MAYOL DORINDA,6,For-Profit,
11965547,9914,12/28/2022,12/27/2024,Assisted Living Facility,MICHT CORP,2907 NORTH BOULEVARD,TAMPA,FL,33602-1207,Hillsborough,(813) 221-5114,LICENSED,MICHT CORP,MICHELINE LYNCEE,8,For-Profit,
11969494,13284,6/18/2021,6/17/2023,Assisted Living Facility,MILY'S SWEET HOME ALF INC,8723 N HYALEAH RD,TAMPA,FL,33617,Hillsborough,(813) 850-5408,LICENSED,MILY'S SWEET HOME ALF INC,MILEIDY SANCHEZ,5,For-Profit,
11967691,11704,3/6/2022,3/5/2024,Assisted Living Facility,MIRACLE ALF,8716 FOUNTAIN AVE,TAMPA,FL,33615-2802,Hillsborough,(813) 267-8873,LICENSED,MIRACLE ALF INC.,SERGIO SANCHEZ,6,For-Profit,
11967692,11693,2/14/2022,2/13/2024,Assisted Living Facility,"MIRELLA'S ASSISTED LIVING, LLC",3003 W BEACH ST,TAMPA,FL,33607-2928,Hillsborough,(813) 500-3508,LICENSED,MIRELLA'S ASSISTED LIVING LLC,MIRELLA RUBIO,8,For-Profit,
11967382,11421,12/7/2022,12/6/2024,Assisted Living Facility,MIS ABUELOS HOME CARE CORP,8422 WOODLAKE DR,TAMPA,FL,33615-1717,Hillsborough,(813) 784-0328,LICENSED,MIS ABUELOS HOME CARE CORP,DAGOBERTO MEDINA,6,For-Profit,
11968789,12640,6/30/2022,6/29/2024,Assisted Living Facility,MY MOM'S HOME ALF LLC,9003 W CLUSTER AVE,TAMPA,FL,33615,Hillsborough,(813) 398-4428,LICENSED,MY MOM'S HOME ALF LLC,KIRENIA RODRIGUEZ,6,For-Profit,
11967152,11290,9/29/2021,9/28/2023,Assisted Living Facility,MY MOM'S HOME ALF WEST TAMPA LLC,3204 WEST LEROY STREET,TAMPA,FL,33607,Hillsborough,(813) 872-6806,LICENSED,MY MOM'S HOME ALF WEST TAMPA LLC,KIRENIA RODRIGUEZ,6,For-Profit,
11964499,9058,12/30/2021,12/29/2023,Assisted Living Facility,NEW HORIZONS GROUP HOMES INC,109 E CLAY AVE,BRANDON,FL,33510-3732,Hillsborough,(813) 571-2690,LICENSED,NEW HORIZONS GROUP HOMES INC,TIFFANY HOFEDITZ,20,Not-For-Profit,www.newhorizonshomes.org
11969833,13580,3/26/2021,3/25/2023,Assisted Living Facility,NINA'S HOUSE ALF,2312 W POWHATAN AVE,TAMPA,FL,33603,Hillsborough,(813) 810-4210,LICENSED,NINA'S HOUSE ALF INC,DAIMA CANCIO,6,For-Profit,
11967668,11676,1/24/2022,1/23/2024,Assisted Living Facility,NINI'S TLC CORP,5118 EL DORADO DR,TAMPA,FL,33615-4712,Hillsborough,(813) 885-2170,LICENSED,NINI'S TLC CORP,LURIAN OSORIO,6,For-Profit,
11968793,12634,6/4/2021,6/3/2023,Assisted Living Facility,NORTHDALE ALF INC,4815 CENTERBROOK CT,TAMPA,FL,33624-1046,Hillsborough,(813) 961-5425,LICENSED,NORTHDALE ALF INC,RONNIEL ESPIGUL-GARCIA,6,For-Profit,www.northdalealf.com
11967819,11800,5/10/2022,5/9/2024,Assisted Living Facility,NUEVA VIDA ALF INC,1901 W OKALOOSA AVE,TAMPA,FL,33604-1025,Hillsborough,(813) 935-5097,LICENSED,"NUEVA VIDA ALF, INC.",IDALMIS MONTANO,6,For-Profit,
11969098,13034,10/26/2021,10/25/2023,Assisted Living Facility,NUEVO AMANECER TAMPA LLC,7405 ARIPEKA DR,TAMPA,FL,33619,Hillsborough,(813) 785-1732,LICENSED,NUEVO AMANECER TAMPA LLC,AILEEN PEREZ CAMACHO,6,For-Profit,
11968702,12620,9/15/2021,9/14/2023,Assisted Living Facility,OAK ROSE ASSISTED LIVING FACILITY,616 VALLE VISTA DR,BRANDON,FL,33511,Hillsborough,(813) 300-6177,LICENSED,SEGGYYEN VENTURES LLC,MS PRETTY OLUFUNKE AYENI,6,For-Profit,
11910071,4992,7/15/2022,7/14/2024,Assisted Living Facility,OAKLAND MANOR,2812 N NEBRASKA AVE,TAMPA,FL,33602-1728,Hillsborough,(813) 225-1347,LICENSED,LIFECARE HOME INC,WYNDEE TANTOCO,32,For-Profit,
11969768,13513,9/18/2022,9/17/2024,Assisted Living Facility,"OCEAN BREEZE ALF, LLC",4713 KELLY RD,TAMPA,FL,33615,Hillsborough,(813) 417-8203,LICENSED,OCEAN BREEZE ALF LLC,MAVIE BENITEZ,6,For-Profit,http://www.Oceanbreezealf.com
11969353,13213,11/26/2022,11/25/2024,Assisted Living Facility,ODENIA'S ANGELS ALF CORP,8204 SUNNYSLOPE DR,TAMPA,FL,33615,Hillsborough,(813) 965-7107,LICENSED,ODENIA'S ANGELS ALF CORP,JOSE RAFAEL CASALLAS,6,For-Profit,
11964871,9398,5/27/2022,5/26/2024,Assisted Living Facility,OHANA ASSISTED LIVING,8602 N 22ND STREET,TAMPA,FL,33604,Hillsborough,(813) 930-8370,LICENSED,OHANA ASSISTED LIVING LLC,JAKAYLA MCKENZIE,8,For-Profit,
11968659,12530,11/1/2021,10/31/2023,Assisted Living Facility,OUR LADY OF CHARITY ALF,7603 WINGING WAY DR,TAMPA,FL,33615,Hillsborough,(813) 664-5238,LICENSED,OUR LADY OF CHARITY ALF LLC,GUILLERMO TOLEDO-PASSEIRO,5,For-Profit,
11966585,10783,2/6/2022,2/5/2024,Assisted Living Facility,PALM AVENUE BAPTIST TOWER ALF,215 EAST PALM AVENUE,TAMPA,FL,33602-2200,Hillsborough,(813) 223-2686,LICENSED,PALM AVENUE BAPTIST TOWER,LINA ZULUAGA OROZCO,60,Not-For-Profit,
11965945,10256,4/27/2021,4/26/2023,Assisted Living Facility,PALM TERRACE ASSISTED LIVING FACILITY & ADULT DAYCARE CENTER,5121 EAST SERENA DRIVE,TAMPA,FL,33617,Hillsborough,(813) 988-0033,LICENSED,TAMPA HOUSING AUTHORITY,MELISSA ANN REIMERT,79,Not-For-Profit,www.palmterracealf.com
11969662,13514,9/18/2022,9/17/2024,Assisted Living Facility,PARADISE OF ADORATION,5110 PEACHGREEN CT,TAMPA,FL,33624,Hillsborough,(813) 504-6072,LICENSED,REACTION RESOURCES INC,PHYLLIS SKANNAL,5,Not-For-Profit,www.paradiseofadoration.com
11969339,13158,4/1/2022,3/31/2024,Assisted Living Facility,PARK VIEW ESTATE OF BRANDON,1502 BRYAN RD,BRANDON,FL,33511,Hillsborough,(813) 502-6308,LICENSED,"HOLISTIC AID ALF, LLC",DR JAYOM UPADHYAYA,6,For-Profit,parkviewofbrandon.com
11965967,10248,4/2/2021,4/1/2023,Assisted Living Facility,PATRICK MANOR INC,896 73RD AVE N,SAINT PETERSBURG,FL,33702-5220,Pinellas,(727) 521-1843,LICENSED,"PATRICK MANOR, INC.",THERESA L. PUTNAM,55,For-Profit,www.patrickmanor.com
11968932,12770,11/23/2021,11/22/2023,Assisted Living Facility,"PERSON TO PERSON CARE CENTER, LLC",6309 E FLORIDA CIR,APOLLO BEACH,FL,33572,Hillsborough,(813) 928-8538,LICENSED,"PERSON TO PERSON CARE CENTER, LLC",ORIANT PERSON,6,For-Profit,www.persontopersoncarecenter.com
11969350,13142,6/27/2022,6/26/2024,Assisted Living Facility,PROMISE POINTE AT TAMPA OAKS,12110 MORRIS BRIDGE RD,TEMPLE TERRACE,FL,33637,Hillsborough,(813) 694-2153,LICENSED,"TAMPA OAKS SENIOR LIVING, LLC",LAURA K. HOLLIDAY,130,For-Profit,promisepointeseniorliving.com
11968670,12550,11/12/2022,11/11/2024,Assisted Living Facility,"QUALITY HOME CARE SERVICES, INCORPORATED",11104 N 28TH ST,TAMPA,FL,33612,Hillsborough,(813) 977-0159,LICENSED,QUALITY HOME CARE SERVICES INC,FRANKLIN HILLS JR,5,For-Profit,QualityHomeCareServicesalf.com
11969876,13639,8/24/2021,8/23/2023,Assisted Living Facility,REBECCA ASSISTED LIVING FACILITY LLC,2015 DERBYWOOD DR,BRANDON,FL,33510,Hillsborough,(813) 629-3428,LICENSED,REBECCA ASSISTED LIVING FACILITY LLC,MACAULAY O IGBINOSUN,6,For-Profit,
11969877,13614,6/22/2021,6/21/2023,Assisted Living Facility,REFUGE AT NEW LIFE HOUSE,202 BEVERLY BLVD,BRANDON,FL,33511,Hillsborough,(813) 565-3853,LICENSED,202 BEVERLY LLC,DENNIS VERNON HOOVER,22,For-Profit,
11910038,7531,5/28/2021,5/27/2023,Assisted Living Facility,RENAISSANCE,16001 LAKESHORE VILLA DRIVE,TAMPA,FL,33613,Hillsborough,(813) 386-1145,LICENSED,"CRP LAKESHORE VILLAS, L.L.C.",PAUL ROSEN,135,For-Profit,www.RENAISSANCENORTHTAMP.com
11968640,12506,5/19/2022,5/18/2024,Assisted Living Facility,RIVERWOOD ALF,7211 RIVERWOOD BLVD,TAMPA,FL,33615-2001,Hillsborough,(813) 407-6888,LICENSED,RIVERWOOD ASSISTED LIVING FACILITY INC,RENE LOPEZ-MARTINEZ,6,For-Profit,
11969301,13116,1/10/2022,1/9/2024,Assisted Living Facility,RONNY'S ASSISTED LIVING LLC,8016 DELL DR,TAMPA,FL,33615,Hillsborough,(813) 449-3877,LICENSED,RONNY'S ASSISTED LIVING LLC,YAILYN RODRIGUEZ,6,For-Profit,www.ronnyassistedliving.com
11968903,12745,1/20/2022,1/19/2024,Assisted Living Facility,ROSE AND MARY ALF LLC,7430 OAKVISTA CIR,TAMPA,FL,33634,Hillsborough,(813) 667-7506,LICENSED,ROSE & MARY ALF LLC,DAILY PENA PORRAS,6,For-Profit,
11965158,9582,4/1/2022,3/31/2024,Assisted Living Facility,ROSECASTLE AT DELANEY CREEK,320 S LAKEWOOD DRIVE,BRANDON,FL,33511,Hillsborough,(813) 655-8858,LICENSED,ROSECASTLE OF BRANDON LLC,CHRISTOPHER KMET,86,For-Profit,brandonseniors.com
11910074,7616,5/13/2022,5/12/2024,Assisted Living Facility,RUBY'S RESIDENTIAL CARE INC,5906 NORTH 32ND STREET,TAMPA,FL,33610,Hillsborough,(813) 237-1330,LICENSED,RUBY'S RESIDENTIAL CARE INC.,ANITA PIERCE,10,For-Profit,
11969415,13236,2/14/2021,2/13/2023,Assisted Living Facility,S & R ASSISTED LIVING FACILITY LLC,907 WOODLAND TERRACE,BRANDON,FL,33511,Hillsborough,(813) 548-7289,LICENSED,S & R ASSISTED LIVING FACILITY LLC,MAJ ROBINSON,6,For-Profit,www.sandrassistedliving.com
11968203,12112,12/22/2021,12/21/2023,Assisted Living Facility,"SAINT JOSEPH ASSISTED LIVING FACILITY, INC",7615 BARRY RD,TAMPA,FL,33615-2406,Hillsborough,(813) 374-5307,LICENSED,"SAINT JOSEPH ASSISTED LIVING FACILITY, INC.",SWAMY BRITO-FERNANDEZ,6,For-Profit,
11967642,11688,2/1/2022,1/31/2024,Assisted Living Facility,SAINT LAZARUS ASSISTED LIVING INC,5209 LANDSMAN AVE,TAMPA,FL,33625-3344,Hillsborough,(813) 963-0142,LICENSED,SAINT LAZARUS ASSISTED LIVING INC,DAINERYS GIL,6,For-Profit,
11969038,12874,11/9/2021,11/8/2023,Assisted Living Facility,SAN JOSE ALF INC,8111 N OLA AVE,TAMPA,FL,33604,Hillsborough,(813) 850-7122,LICENSED,SAN JOSE ALF INC,DAILY PENA PORRAS,6,For-Profit,
